Tool,Desc,URL
marp,markdown presentation,https://yhatt.github.io/marp/
coati,source visualizer and explorer,https://www.coati.io/
DB Browser for SQLite,sqlite db viewer,http://sqlitebrowser.org/
Clipman,xfce clipboard manager,http://goodies.xfce.org/projects/panel-plugins/xfce4-clipman-plugin
RealTerm,advanced terminal program for Windows,http://realterm.sourceforge.net/
TyperTask,text expansion for Windows,http://portableapps.com/apps/utilities/typertask-portable
AutoKey,text expansion for Linux,about:blank
PlantUML,UML diagrams in plain-text,http://plantuml.com/
FreeMind,MindMapping tool written in Java,http://freemind.sourceforge.net
Multitail,A better version of the UNIX tail command,https://www.vanheusden.com/multitail/
Doxygen,Code doc generator and rudimentary code visualizer,http://www.stack.nl/~dimitri/doxygen/index.html
dot & graphviz,langauge and tools for generating diagrams from plain text (like plantUML but more generic),http://www.graphviz.org/
script,For capturing all terminal output into a file,http://man7.org/linux/man-pages/man1/script.1.html
